fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2021-01-12;Valladolid;33995;493;4844;840;47186;41.583333,-4.666667
2021-01-12;Zamora;9274;85;1440;348;49275;41.75,-6.0
2021-01-12;Burgos;25452;181;2981;586;9059;42.383333,-3.666667
2021-01-11;Burgos;25271;53;2969;583;9059;42.383333,-3.666667
2021-01-11;Salamanca;19957;95;2775;641;37274;40.833333,-6.0
2021-01-11;Soria;6106;23;768;183;42173;41.666667,-2.666667
2021-01-11;Zamora;9189;25;1436;347;49275;41.75,-6.0
2021-01-11;Ávila;8286;76;1211;251;5019;40.616092,-4.929031
2021-01-11;Palencia;10728;67;1290;294;34120;42.432128,-4.520647
2021-01-11;León;23973;92;3611;876;24089;42.666667,-6.0
2021-01-11;Segovia;9664;138;1230;266;40004;41.166667,-4.0
2021-01-11;Valladolid;33502;214;4830;840;47186;41.583333,-4.666667
2021-01-10;Salamanca;19862;167;2775;641;37274;40.833333,-6.0
2021-01-10;Segovia;9526;134;1228;265;40004;41.166667,-4.0
2021-01-10;Zamora;9164;12;1435;346;49275;41.75,-6.0
2021-01-10;Burgos;25218;47;2967;583;9059;42.383333,-3.666667
2021-01-10;Palencia;10661;79;1288;292;34120;42.432128,-4.520647
2021-01-10;Ávila;8210;74;1211;251;5019;40.616092,-4.929031
2021-01-10;Soria;6083;17;768;183;42173;41.666667,-2.666667
2021-01-10;León;23881;259;3609;874;24089;42.666667,-6.0
2021-01-10;Valladolid;33288;156;4823;839;47186;41.583333,-4.666667
2021-01-09;Ávila;8136;166;1211;251;5019;40.616092,-4.929031
2021-01-09;Burgos;25171;138;2965;583;9059;42.383333,-3.666667
2021-01-09;León;23622;257;3607;872;24089;42.666667,-6.0
2021-01-09;Palencia;10582;92;1282;289;34120;42.432128,-4.520647
2021-01-09;Salamanca;19695;175;2771;639;37274;40.833333,-6.0
2021-01-09;Segovia;9392;143;1227;264;40004;41.166667,-4.0
2021-01-09;Soria;6066;28;767;182;42173;41.666667,-2.666667
2021-01-09;Valladolid;33132;356;4819;836;47186;41.583333,-4.666667
2021-01-09;Zamora;9152;115;1434;346;49275;41.75,-6.0
2021-01-08;León;23365;139;3593;869;24089;42.666667,-6.0
2021-01-08;Salamanca;19520;157;2766;638;37274;40.833333,-6.0
2021-01-08;Ávila;7970;136;1208;251;5019;40.616092,-4.929031
2021-01-08;Valladolid;32776;278;4802;831;47186;41.583333,-4.666667
2021-01-08;Palencia;10490;99;1273;286;34120;42.432128,-4.520647
2021-01-08;Soria;6038;35;765;182;42173;41.666667,-2.666667
2021-01-08;Burgos;25033;130;2953;583;9059;42.383333,-3.666667
2021-01-08;Segovia;9249;135;1221;264;40004;41.166667,-4.0
2021-01-08;Zamora;9037;24;1426;345;49275;41.75,-6.0
2021-01-07;Salamanca;19363;109;2764;638;37274;40.833333,-6.0
2021-01-07;Segovia;9114;79;1215;262;40004;41.166667,-4.0
2021-01-07;León;23226;106;3585;867;24089;42.666667,-6.0
2021-01-07;Valladolid;32498;143;4786;827;47186;41.583333,-4.666667
2021-01-07;Burgos;24903;47;2944;580;9059;42.383333,-3.666667
2021-01-07;Soria;6003;21;762;181;42173;41.666667,-2.666667
2021-01-07;Ávila;7834;50;1205;251;5019;40.616092,-4.929031
2021-01-07;Palencia;10391;66;1260;283;34120;42.432128,-4.520647
2021-01-07;Zamora;9013;35;1420;345;49275;41.75,-6.0
2021-01-06;León;23120;190;3583;865;24089;42.666667,-6.0
2021-01-06;Salamanca;19254;143;2761;637;37274;40.833333,-6.0
2021-01-06;Soria;5982;26;762;181;42173;41.666667,-2.666667
2021-01-06;Zamora;8978;69;1419;344;49275;41.75,-6.0
2021-01-06;Segovia;9035;129;1215;262;40004;41.166667,-4.0
2021-01-06;Ávila;7784;90;1204;250;5019;40.616092,-4.929031
2021-01-06;Valladolid;32355;261;4781;825;47186;41.583333,-4.666667
2021-01-06;Burgos;24856;123;2939;578;9059;42.383333,-3.666667
2021-01-06;Palencia;10325;135;1257;282;34120;42.432128,-4.520647
2021-01-05;Salamanca;19111;78;2757;636;37274;40.833333,-6.0
2021-01-05;León;22930;140;3571;863;24089;42.666667,-6.0
2021-01-05;Zamora;8909;41;1412;341;49275;41.75,-6.0
